peaks_diff,period,oxigen_per_lit
141.8,3.709087887,4.33216388
547.3,1.502580454,4.239132107
543.2444444,1.535198233,4.195964883
493.1181818,1.437431603,4.589603679
652.125,1.225835592,0.002006689
337.3611111,1.65450721,0.002006689
542.25,1.674175983,0.004013378
447.5,2.061147682,3.21533612
338,2.486977207,2.851829431
650.4,3.300895566,3.329779264
367.9333333,2.529618683,3.013205686
459.3333333,2.496489155,2.888740803
389.6666667,2.492905795,2.899143813
448.8333333,2.51818053,2.745874582
463.1666667,2.509615964,3.081005017
538,2.45660766,3.029697324
614.7380952,2.502508971,3.012459866
629.7619048,0.731090261,3.600119922
734.6666667,1.100948395,2.240040134
353.4,2.913978091,1.32543311
415.7666667,2.643351545,1.657578595
517,2.977303178,1.911409699
718.75,3.313469965,1.974677258
794.35,3.29284854,2.199851171
700.3333333,2.899246329,2.464695652
644.5,2.655452478,2.514436455
624,2.440862938,2.276688963
545,2.898909552,1.998444816
700,2.682173691,2.446302676
677.1666667,2.544542532,2.223928094
640,2.798029458,2.233083612
527,6.544399266,1.523220736
713.4,2.990908796,2.093438127
618.0833333,1.251163377,4.288207358
625.1708333,1.073680514,7.174919732
629.35,0.963551295,7.766976589
611.125,0.940521931,7.543580268
633.125,0.937259508,7.62798495
630.3529412,0.890761389,8.200466555
559.8,2.651410591,0.720150502
222.1666667,5.123229289,1.537006689
380,4.797836597,1.582123746
307.8333333,2.623591865,1.827949833
275.4571429,2.553599308,2.343687291
265.8666667,2.578819646,1.806662207
280,2.368698238,1.66772408
288.2380952,2.506316363,1.665812709
516.875,2.087502831,1.951444816
322.1428571,2.280589849,1.785536789
340.1428571,2.006471007,2.15561204
338.8333333,2.309432587,2.053274247
401.3333333,1.665777429,2.785421405
485.8571429,1.671766532,2.707331104
431.2063492,1.713006707,2.946367893
408.1666667,1.89185729,2.862951505
482.25,1.652264956,3.259317726
422.25,1.994307719,3.300006689
413.25,2.012834334,3.516804348
515.125,1.754060462,3.631404682
568.6944444,1.701211791,3.547409699
509.1388889,1.686339056,4.075423077
500.1111111,1.650382266,4.143705686
597.5555556,1.642644352,4.367496656
589.4305556,1.646304267,4.225762542
625.6666667,1.670284641,4.28679097
647.9333333,1.629675352,4.607899666
601.7111111,1.599438932,4.935744147
675.9555556,1.602204655,5.094750836
725.2222222,1.611507618,4.90741806
777.3333333,1.617089273,5.153312709
622.0666667,1.592200735,5.632061873
542,2.786155777,5.88338796
682,1.224763082,6.245859532
-189.8,3.957337814,6.537531773
576.9807692,1.206826654,6.599448161
652.2307692,1.152917578,7.390011706
608.2912088,1.151982751,7.358710702
634.2307692,1.153465516,7.382588629
542.8296703,1.139426133,7.748944816
637.1538462,1.132274634,8.004349498
634.1758242,1.125729694,8.196043478
642.2032967,1.129005506,8.198282609
627.9285714,1.116916049,8.301130435
666.9090909,1.209703642,4.110102007
636.3125,0.973631511,7.767734114
621.6875,0.908078752,7.87382107
623.2720588,0.904675385,7.93276087
632.7279412,0.921296108,7.964809365
294.4285714,2.065971744,2.568682274
433.3,2.658063067,2.059312709
471.4285714,2.189188563,2.489028428
543.125,1.817202714,3.537804348
529.7142857,2.048598209,3.10208194
565.6666667,1.730122862,4.12177592
600.2222222,1.609794922,4.158421405
627.5,1.571583887,4.200541806
644.2,1.492263267,4.922463211
652.2,1.462174616,4.897685619
696.5727273,1.410718378,5.608879599
699.8181818,1.391195371,5.301160535
681.3090909,1.400420189,5.646866221
737.5454545,1.366165296,6.011379599
729.1818182,1.35434351,5.722545151
737,1.362202499,5.78030602
1071,9.585555286,0.545317726
758.7571429,0.689282163,3.423531773
580.75,2.711870901,2.181856187
543.7333333,2.703771587,1.824657191
633.9333333,2.858542093,2.192929766
710.5,2.419001124,2.504608696
779.8333333,2.377888547,2.817953177
760.5,2.322769172,3.135591973
785.6904762,2.3577442,2.921804348
857.5,2.611021629,2.953006689
791.3333333,2.482414315,2.874640468
817.1428571,2.083397856,3.261491639
826.6190476,2.283080019,2.592401338
807.5714286,2.355202684,3.148655518
742.1904762,2.228912948,2.957673913
772.7142857,2.135178672,3.077809365
797.4761905,2.343713467,2.888862876
549.2222222,1.544060066,3.188959866
615.2333333,1.338388321,5.595854515
596.6363636,1.375592003,4.914963211
584.7636364,1.383737686,4.768115385
561.9090909,1.38068375,5.179981605
597.5,1.37264774,5.28712709
573.6666667,3.770404533,1.522416388
354.3333333,5.847460631,1.988648829
417.8484848,0.276059958,2.820493311
403.4666667,1.463401223,2.892953177
560.2,1.455277946,3.507966555
538.3,1.46572161,4.204421405
600.4363636,1.46540968,4.644782609
635.9,1.497372206,4.689662207
761.975,1.562728817,4.647287625
690.6,1.477261255,4.805598662
810.7,1.475091864,4.871050167
376.7777778,1.504204304,4.405406355
463,1.490791665,4.573730769
533.2222222,1.503074244,4.542075251
570,1.482073761,4.702025084
569.9583333,1.756410214,4.194959866
638.1111111,1.567689818,4.6774699
623.9191919,1.500638161,5.585282609
373,14.89891908,0.012
706.5151515,1.034309857,2.363182274
227,7.470287471,0.725453177
455,6.59284122,0.605819398
646.6666667,5.637248944,1.263657191
626.5,5.41522084,1.198826087
530.3333333,2.556589244,1.634249164
385.6,2.92157337,1.630939799
502,2.733209211,1.524428094
436.4,3.270566241,1.33726087
392.5833333,2.806067768,1.768789298
566.8,3.372622426,1.353531773
444.75,2.82978311,1.438555184
418.2333333,2.942278019,1.362299331
536.05,2.693411613,1.465575251
442.2,2.769238218,1.568630435
431.4,2.880872392,1.20912709
748.1904762,1.768324373,1.268367893
722.6904762,2.128601678,3.197799331
857.3809524,2.62841192,2.822147157
1044.285714,2.114374583,3.705563545
1132.180556,1.775425201,4.255571906
1145.388889,1.515850356,5.190946488
1230.2,1.465457372,5.742341137
1083.222222,1.596415184,5.220923077
1043.988889,1.519465261,5.788354515
1137.8,1.48841024,5.433148829
1148.627273,1.419245939,5.86656689
1181.3,1.435675953,5.600048495
1068.2,1.436167063,5.760421405
1008.9,1.477726071,5.786367893
1003.690909,1.41995619,6.162690635
1042.454545,1.424707442,6.127133779
532.0666667,2.874187821,0.012
390,5.365055428,3.344316054
465,5.24958197,2.01841806
367.3333333,5.392385225,1.561683946
389.85,2.977928139,1.584573579
241.5,4.095179941,1.036113712
295.3333333,3.487837433,1.276399666
323.2,3.351566752,1.58009699
329.5833333,2.685307434,1.50419398
473.2142857,2.001721861,2.298852843
566.5,3.761191131,1.730864548
405.5,3.736785876,1.714971572
434.8,2.842624456,1.887847826
437.8,2.745838816,1.936494983
483.4,2.728545031,2.203123746
489.8333333,2.333761178,2.478526756
542.547619,2.24007896,2.610764214
536.1666667,2.275392806,2.564983278
518.9583333,2.028959613,3.545979933
